name,address,hos_lat,hos_lng,phone,is_emergency,nightcare,start_hour,end_hour,image,specialties
인제대학교서울백병원,서울특별시 중구 마른내로 9 (저동2가),37.5650731684839,126.98884533055192,02-2270-0114,TRUE,FALSE,08:30,17:00,,
재단법인베스티안재단베스티안서울병원,"서울특별시 강남구 도곡로 429 (대치동, 베스티안병원 2층일부 제외)",37.49807126965969,127.05726710883552,02-3452-7575,TRUE,FALSE,09:00,18:00,,
재단법인베스티안재단베스티안서울병원,서울특별시 성동구 왕십리로 382 (하왕십리동),37.5651102845783,127.028019796271,02-3452-7575,TRUE,FALSE,09:00,18:00,,
재단법인아산사회복지재단서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",37.526563966361216,127.10823825113607,02-3010-3114,TRUE,FALSE,08:30,17:30,,
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),37.50707428493414,126.96079378447554,1800-1114,TRUE,FALSE,08:30,16:30,,
차의과학대학교강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",37.506800025850865,127.03466865188072,02-3468-3000,TRUE,FALSE,09:00,17:30,,
최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",37.604769594378,126.923855760856,02-1588-3797,TRUE,FALSE,09:00,18:00,,
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),37.501800804785276,127.00472725970137,0215881511,TRUE,FALSE,08:00,17:00,,
고려대학교 안암병원권역응급의료센터,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",37.58715608002366,127.02647086385966,1577-0083,TRUE,FALSE,08:30,17:30,,
한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",37.5224047841717,126.890913736375,02-1800-7119,TRUE,FALSE,09:00,18:00,,
한국보훈복지의료공단중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),37.528220900896635,127.14671886173552,02-2225-1111,TRUE,FALSE,09:00,17:30,,
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",37.628815981330355,127.08269315796588,02-970-2114,TRUE,FALSE,08:30,16:30,,
한림대학교강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",37.4932492859,126.9086725295,02-829-5114,TRUE,FALSE,08:30,16:30,,
한림대학교한강성심병원,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",37.52346674579277,126.91033000120589,02-2639-5114,TRUE,FALSE,09:00,16:30,,
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),37.559944533564746,127.04488284061982,02-2290-8114,TRUE,FALSE,08:30,17:30,,
혜민병원,서울특별시 광진구 자양로 85 (자양동),37.535315660180416,127.08360130258502,02-2049-9000,TRUE,FALSE,08:30,17:30,,
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",37.52844147447355,126.8636640030062,02-2693-5555,TRUE,FALSE,09:00,18:00,,
희명병원,서울특별시 금천구 시흥대로 244 (시흥동),37.45567063464179,126.90056251863875,02-804-0002,TRUE,FALSE,08:30,17:30,,
